iter	Logloss
0	0.6599936646
1	0.630950797
2	0.6037123292
3	0.5786433302
4	0.5561698642
5	0.5340520223
6	0.5159574876
7	0.4977360982
8	0.4808388569
9	0.4664776518
10	0.4531420292
11	0.4400799472
12	0.4288884827
13	0.4172931525
14	0.4066942053
15	0.3974034907
16	0.3880683454
17	0.3797452628
18	0.3715498241
19	0.3652805187
20	0.3593810346
21	0.3526389113
22	0.3469642032
23	0.3419840405
24	0.3370691521
25	0.3329832857
26	0.3281443275
27	0.3242922738
28	0.3207182703
29	0.3164246465
30	0.3132489138
31	0.3096867933
32	0.3062676967
33	0.3029397845
34	0.3003912703
35	0.297935673
36	0.2958240483
37	0.2934983222
38	0.2910681517
39	0.2892217817
40	0.2872417457
41	0.2852043727
42	0.2834630464
43	0.2818617392
44	0.2799433137
45	0.2785907116
46	0.277294558
47	0.2758214248
48	0.2745757586
49	0.2731201628
50	0.2716055587
51	0.2704983873
52	0.269158398
53	0.2681527326
54	0.2669781137
55	0.2659163465
56	0.2650541581
57	0.264199509
58	0.2633742208
59	0.2625210666
60	0.2616977955
61	0.2608933785
62	0.2601456111
63	0.2593244681
64	0.2585835936
65	0.2578060859
66	0.2571848931
67	0.2566275701
68	0.2561409842
69	0.2555702478
70	0.2549738222
71	0.254250102
72	0.2537593824
73	0.2530993184
74	0.252595126
75	0.2521219313
76	0.2515296525
77	0.2511568945
78	0.2507656389
79	0.2503381179
80	0.2499233055
81	0.249509612
82	0.2491363211
83	0.2487561302
84	0.2484045802
85	0.2480715606
86	0.2476958499
87	0.2473176682
88	0.2469698023
89	0.2465637492
90	0.2462448629
91	0.2459468469
92	0.2456486199
93	0.2452523423
94	0.2449902086
95	0.2447320268
96	0.2445143149
97	0.2442521476
98	0.2439701607
99	0.2437503651
100	0.2435277793
101	0.2433210212
102	0.2429791234
103	0.2427738895
104	0.2424969805
105	0.2422877265
106	0.2420344843
107	0.2418119339
108	0.2415919247
109	0.2413842613
110	0.2412068252
111	0.2410239343
112	0.2408766925
113	0.2407213431
114	0.2404937024
115	0.2402880837
116	0.2401089859
117	0.2399188004
118	0.2397636869
119	0.2395647607
120	0.2394148386
121	0.2392571076
122	0.2390680881
123	0.2388993909
124	0.2386959206
125	0.238538038
126	0.2383693319
127	0.2382459999
128	0.2381196505
129	0.2379509648
130	0.2378134134
131	0.2376911897
132	0.237556942
133	0.2373894418
134	0.2372579152
135	0.2371332425
136	0.2369806409
137	0.236850556
138	0.236708527
139	0.2365622463
140	0.236456441
141	0.2362822057
142	0.2361713259
143	0.2360475257
144	0.2359450214
145	0.235843135
146	0.2357347894
147	0.2356290984
148	0.2355272963
149	0.2354295994
150	0.235336663
151	0.2352407927
152	0.2351313981
153	0.2349645984
154	0.2348722037
155	0.2347802524
156	0.2346952047
157	0.2345440111
158	0.2344426142
159	0.2343345283
160	0.234246215
161	0.2341604198
162	0.2340541356
163	0.233953167
164	0.2338633277
165	0.2337414321
166	0.2336470105
167	0.2335660814
168	0.2334836697
169	0.2334018884
170	0.2333228655
171	0.2332506965
172	0.2331565561
173	0.2330472466
174	0.2329584864
175	0.2328833826
176	0.232805961
177	0.2327383735
178	0.2326748955
179	0.2325962557
180	0.2324978274
181	0.23241395
182	0.2323410079
183	0.232262877
184	0.2321890863
185	0.2320992745
186	0.2320198615
187	0.2319344645
188	0.2318687699
189	0.2317939179
190	0.2317150564
191	0.2316443336
192	0.2315911604
193	0.2315003804
194	0.2314310381
195	0.2313662107
196	0.2312930389
197	0.231245043
198	0.2311826637
199	0.2311269166
200	0.2310612211
201	0.2310052719
202	0.2309485947
203	0.2308903614
204	0.2308374081
205	0.2307762949
206	0.2307123311
207	0.230656717
208	0.2305978045
209	0.2305486773
210	0.2304927856
211	0.2304392206
212	0.2303710664
213	0.2303174766
214	0.2302553757
215	0.2301964525
216	0.2301353473
217	0.2300870837
218	0.230032538
219	0.2299742896
220	0.2299380517
221	0.2298918096
222	0.2298332279
223	0.2297785572
224	0.2297319329
225	0.2296807167
226	0.2296366531
227	0.2295820808
228	0.2295363025
229	0.2294854728
230	0.2294326207
231	0.2293822113
232	0.2293324713
233	0.2292777465
234	0.2292251524
235	0.2291824693
236	0.2291378525
237	0.2290840605
238	0.2290369991
239	0.2289924054
240	0.2289247779
241	0.2288818501
242	0.2288411851
243	0.2287873878
244	0.2287398574
245	0.2286904703
246	0.2286466719
247	0.2285942294
248	0.2285288717
249	0.2284906087
250	0.2284469433
251	0.2283998624
252	0.2283551081
253	0.228317112
254	0.22828323
255	0.2282402845
256	0.2281984811
257	0.2281483102
258	0.228104103
259	0.2280645064
260	0.2280345567
261	0.2279884627
262	0.2279273451
263	0.227884475
264	0.2278381389
265	0.2277937429
266	0.2277525982
267	0.2277135097
268	0.2276692467
269	0.2276128018
270	0.2275752782
271	0.2275393941
272	0.2274878879
273	0.2274364695
274	0.2273993254
275	0.2273556352
276	0.2273155368
277	0.22726348
278	0.2272290925
279	0.227193908
280	0.2271431794
281	0.2270905011
282	0.2270434565
283	0.2270080557
284	0.2269707609
285	0.2269361234
286	0.2268958078
287	0.2268482002
288	0.2268105685
289	0.2267788916
290	0.2267391098
291	0.2266989263
292	0.2266604859
293	0.226619398
294	0.2265882682
295	0.2265496895
296	0.2264992473
297	0.2264597554
298	0.2264267121
299	0.226365239
300	0.226326107
301	0.2262779161
302	0.2262419353
303	0.2262043772
304	0.2261728049
305	0.2261372719
306	0.2260993202
307	0.2260583413
308	0.2260308424
309	0.2259999901
310	0.2259724264
311	0.225930286
312	0.2258897709
313	0.2258470391
314	0.2258073299
315	0.2257705698
316	0.2257348586
317	0.2257024068
318	0.2256667887
319	0.2256333562
320	0.2255853824
321	0.225559006
322	0.2255269027
323	0.2254856365
324	0.2254494971
325	0.2254234168
326	0.2253913267
327	0.2253599486
328	0.2253305877
329	0.2252994313
330	0.2252731941
331	0.225242575
332	0.2252099804
333	0.2251720756
334	0.2251401008
335	0.2250986014
336	0.2250719324
337	0.2250433438
338	0.225007449
339	0.2249767173
340	0.224946256
341	0.2249059289
342	0.2248731694
343	0.2248358932
344	0.2248032578
345	0.2247752757
346	0.2247480481
347	0.2247165937
348	0.2246888536
349	0.2246610798
350	0.224628745
351	0.2245986756
352	0.2245732302
353	0.2245428558
354	0.2245154199
355	0.2244913709
356	0.2244683204
357	0.2244422179
358	0.2244143528
359	0.2243714525
360	0.2243357901
361	0.2243065054
362	0.22427592
363	0.2242458161
364	0.2242211252
365	0.2241900016
366	0.224152291
367	0.224124346
368	0.2240929635
369	0.2240578473
370	0.2240232107
371	0.2239951851
372	0.2239689505
373	0.2239387765
374	0.2239110125
375	0.2238861177
376	0.2238632781
377	0.2238304566
378	0.2237942595
379	0.2237691395
380	0.2237354215
381	0.2237100239
382	0.2236728506
383	0.2236450928
384	0.2236221708
385	0.2235969905
386	0.2235617669
387	0.2235322145
388	0.2235071157
389	0.2234820285
390	0.2234509457
391	0.2234270209
392	0.2234084303
393	0.2233871362
394	0.2233634623
395	0.2233325843
396	0.2233056094
397	0.223279311
398	0.2232543913
399	0.2232377593
400	0.2232154695
401	0.2231920182
402	0.2231576503
403	0.2231213362
404	0.2230870924
405	0.2230607656
406	0.2230386399
407	0.2230190402
408	0.2229872356
409	0.2229581008
410	0.2229319992
411	0.2228946929
412	0.2228717665
413	0.2228440512
414	0.2228208225
415	0.2227907726
416	0.2227668372
417	0.2227361932
418	0.2227133838
419	0.222684734
420	0.222660099
421	0.2226303488
422	0.222610821
423	0.2225845217
424	0.2225587491
425	0.2225269773
426	0.2225066808
427	0.2224797652
428	0.2224573717
429	0.2224268342
430	0.2224050046
431	0.2223795875
432	0.2223560635
433	0.2223375101
434	0.2223059502
435	0.2222828349
436	0.2222571377
437	0.2222331198
438	0.2222165419
439	0.2221905565
440	0.2221579034
441	0.2221288749
442	0.2221057614
443	0.2220758658
444	0.2220552802
445	0.2220339391
446	0.2220074927
447	0.221978098
448	0.22195527
449	0.2219235976
450	0.2218922168
