iter	Logloss
0	0.5426635126
1	0.4506888526
2	0.3952639749
3	0.3512927829
4	0.3238354219
5	0.3067457878
6	0.2934742192
7	0.2816822622
8	0.2729779472
9	0.2673780917
10	0.2624232405
11	0.2592573775
12	0.2560355397
13	0.2530965509
14	0.2507521461
15	0.2479899858
16	0.2463500216
17	0.2450905052
18	0.2438654963
19	0.2427752458
20	0.2417131173
21	0.2407174182
22	0.2396704099
23	0.2390132864
24	0.2379498332
25	0.2372696948
26	0.2364234302
27	0.2358337409
28	0.2353384555
29	0.2347972343
30	0.2342831414
31	0.2339182707
32	0.2334733262
33	0.2331894146
34	0.2328022206
35	0.2324373883
36	0.2318929435
37	0.2316300666
38	0.2313268333
39	0.231078797
40	0.2307868425
41	0.2303548687
42	0.2300333823
43	0.2297345772
44	0.2294813397
45	0.2292386179
46	0.2288665561
47	0.2286181671
48	0.2283894236
49	0.2281466246
50	0.2278891608
51	0.2276802637
52	0.2275023977
53	0.2273142306
54	0.227131763
55	0.2269922739
56	0.2268137983
57	0.2266495056
58	0.2264444396
59	0.2262693357
60	0.2260896971
61	0.2259235555
62	0.2257229138
63	0.225574166
64	0.2253662566
65	0.2252056468
66	0.2250595609
67	0.2249346619
68	0.2247947701
69	0.2246768748
70	0.2245765215
71	0.2244717161
72	0.2243032687
73	0.2241442517
74	0.2239800551
75	0.2238208699
76	0.2236709885
77	0.2235470314
78	0.2234095364
79	0.2232682989
80	0.2231415645
81	0.222987375
82	0.2229156771
83	0.2228287577
84	0.2227144308
85	0.2225831916
86	0.2224321134
87	0.2223071223
88	0.2221840731
89	0.2220854459
90	0.2219924147
91	0.2218986836
92	0.2218030536
93	0.2217064518
94	0.2215973416
95	0.2214736787
96	0.2213710535
97	0.2212603774
98	0.2211445799
99	0.2210521992
100	0.2209364415
101	0.2208646733
102	0.2207368688
103	0.2206230607
104	0.220518905
105	0.220405557
106	0.2202874263
107	0.2201567843
108	0.220066696
109	0.2199740903
110	0.2198511636
111	0.21976029
112	0.2196591774
113	0.2195707566
114	0.2194555235
115	0.219314056
116	0.2192154815
117	0.2191308902
118	0.2190133069
119	0.2189343148
120	0.2188343793
121	0.2187360081
122	0.2186482768
123	0.2185370755
124	0.2184514023
125	0.2183582019
126	0.2182617487
127	0.2181535877
128	0.2180643806
129	0.2179835658
130	0.2179121378
131	0.2178189717
132	0.2177262187
133	0.2176399321
134	0.217559728
135	0.2174607294
136	0.2173871599
137	0.217314702
138	0.2172249003
139	0.2171524215
140	0.2170552275
141	0.2169617349
142	0.2168799961
143	0.2167850567
144	0.2167050294
145	0.2166323314
146	0.2165474811
147	0.2164529558
148	0.2163713364
149	0.2162790604
150	0.2161837024
