iter	Passed	Remaining
0	243	243435
1	489	244244
2	739	245755
3	942	234735
4	1193	237598
5	1407	233250
6	1620	229898
7	1878	232882
8	2071	228108
9	2294	227116
10	2549	229182
11	2796	230252
12	3065	232758
13	3277	230825
14	3558	233686
15	3776	232237
16	3985	230441
17	4233	230982
18	4435	229022
19	4633	227044
20	4823	224845
21	5042	224157
22	5227	222039
23	5473	222598
24	5697	222218
25	5910	221421
26	6138	221213
27	6320	219408
28	6536	218850
29	6724	217439
30	6932	216688
31	7117	215295
32	7374	216089
33	7566	214969
34	7806	215246
35	8005	214369
36	8176	212806
37	8386	212301
38	8596	211838
39	8820	211688
40	9008	210710
41	9211	210108
42	9420	209650
43	9630	209236
44	9795	207886
45	10024	207898
46	10185	206533
47	10412	206514
48	10581	205367
49	10769	204623
50	10988	204480
51	11224	204635
52	11457	204725
53	11718	205294
54	11935	205068
55	12128	204445
56	12321	203837
57	12486	202790
58	12684	202309
59	12841	201178
60	13025	200506
61	13225	200090
62	13470	200341
63	13702	200398
64	13906	200040
65	14137	200069
66	14358	199941
67	14590	199979
68	14831	200122
69	15000	199289
70	15195	198820
71	15399	198483
72	15584	197899
73	15759	197207
74	15972	196988
75	16204	197017
76	16447	197154
77	16617	196421
78	16809	195967
79	17028	195826
80	17243	195640
81	17493	195847
82	17676	195288
83	17919	195402
84	18123	195092
85	18320	194705
86	18530	194465
87	18740	194216
88	18985	194333
89	19146	193587
90	19355	193340
91	19525	192704
92	19722	192344
93	19928	192079
94	20107	191550
95	20338	191520
96	20525	191073
97	20706	190586
98	20873	189973
99	21097	189876
100	21276	189385
101	21496	189255
102	21693	188925
103	21922	188872
104	22118	188530
105	22299	188070
106	22486	187670
107	22693	187434
108	22903	187220
109	23065	186624
110	23260	186290
111	23422	185708
112	23583	185117
113	23749	184578
114	23926	184131
115	24147	184018
116	24350	183776
117	24558	183566
118	24744	183194
119	24912	182695
120	25085	182229
121	25300	182079
122	25493	181771
123	25680	181417
124	25891	181242
125	26076	180879
126	26283	180669
127	26509	180593
128	26702	180291
129	26879	179887
130	27067	179551
131	27287	179437
132	27487	179185
133	27662	178774
134	27856	178491
135	28018	178002
136	28201	177648
137	28364	177172
138	28535	176757
139	28714	176391
140	28880	175946
141	29084	175734
142	29302	175611
143	29478	175234
144	29703	175150
145	29880	174781
146	30094	174632
147	30317	174530
148	30502	174210
149	30681	173859
150	30895	173711
151	31052	173240
152	31235	172920
153	31452	172781
154	31630	172439
155	31864	172393
156	32077	172237
157	32282	172039
158	32521	172018
159	32749	171936
160	32971	171820
161	33139	171427
162	33313	171062
163	33497	170756
164	33713	170609
165	33954	170589
166	34127	170228
167	34292	169828
168	34462	169456
169	34606	168959
170	34774	168587
171	34965	168323
172	35166	168109
173	35410	168099
174	35623	167941
175	35809	167654
176	35999	167388
177	36172	167042
178	36405	166975
179	36587	166675
180	36773	166396
181	36974	166183
182	37199	166077
183	37390	165819
184	37581	165562
185	37790	165384
186	38004	165229
187	38176	164889
188	38343	164531
189	38555	164369
190	38722	164013
191	38896	163688
192	39104	163509
193	39256	163095
194	39418	162726
195	39596	162425
196	39780	162151
197	39963	161874
198	40140	161570
199	40330	161321
200	40521	161078
201	40692	160755
202	40912	160626
203	41097	160362
204	41309	160201
205	41496	159941
206	41730	159866
207	41946	159718
208	42140	159487
209	42357	159345
210	42553	159123
211	42735	158847
212	42926	158607
213	43116	158362
214	43303	158108
215	43488	157847
216	43684	157625
217	43876	157393
218	44051	157096
219	44213	156757
220	44408	156534
221	44610	156337
222	44810	156134
223	44976	155811
224	45209	155720
225	45395	155468
226	45582	155220
227	45815	155128
228	45982	154813
229	46188	154630
230	46355	154316
231	46541	154067
232	46704	153743
233	46905	153544
234	47089	153289
235	47246	152950
236	47406	152620
237	47617	152456
238	47787	152159
239	47996	151988
240	48219	151861
241	48410	151633
242	48618	151457
243	48801	151204
244	48989	150966
245	49169	150706
246	49383	150550
247	49528	150184
248	49704	149911
249	49864	149593
250	50027	149283
251	50174	148931
252	50359	148689
253	50531	148410
254	50711	148158
255	50900	147930
256	51094	147715
257	51282	147486
258	51523	147410
259	51693	147127
260	51914	146991
261	52118	146808
262	52303	146568
263	52466	146269
264	52631	145976
265	52846	145824
266	53028	145581
267	53226	145378
268	53420	145168
269	53605	144934
270	53799	144723
271	53978	144472
272	54182	144287
273	54382	144093
274	54601	143948
275	54760	143647
276	54927	143365
277	55106	143118
278	55338	143006
279	55560	142869
280	55794	142763
281	56042	142690
282	56250	142513
283	56437	142285
284	56623	142054
285	56823	141860
286	57057	141749
287	57244	141521
288	57458	141359
289	57653	141152
290	57821	140876
291	58044	140738
292	58302	140681
293	58506	140496
294	58718	140327
295	58893	140071
296	59113	139922
297	59330	139766
298	59546	139606
299	59734	139379
300	59932	139179
301	60122	138958
302	60313	138740
303	60492	138496
304	60735	138397
305	60972	138283
306	61220	138194
307	61419	137995
308	61628	137816
309	61893	137764
310	62088	137552
311	62309	137401
312	62498	137176
313	62663	136901
314	62880	136739
315	63138	136667
316	63368	136532
317	63619	136441
318	63840	136286
319	64041	136087
320	64229	135862
321	64453	135713
322	64649	135502
323	64835	135274
324	65054	135112
325	65246	134895
326	65492	134789
327	65729	134664
328	65929	134464
329	66178	134362
330	66401	134206
331	66636	134075
332	66825	133851
333	67002	133603
334	67217	133431
335	67386	133169
336	67585	132964
337	67768	132730
338	67959	132511
339	68162	132315
340	68348	132086
341	68541	131872
342	68711	131613
343	68915	131420
344	69085	131163
345	69304	130997
346	69525	130835
347	69740	130663
348	69949	130478
349	70126	130234
350	70294	129974
351	70492	129770
352	70710	129603
353	70936	129448
354	71142	129258
355	71338	129051
356	71587	128937
357	71808	128773
358	72036	128622
359	72282	128501
360	72540	128402
361	72752	128221
362	72976	128060
363	73132	127781
364	73306	127533
365	73495	127311
366	73704	127124
367	73888	126896
368	74074	126669
369	74261	126445
370	74450	126225
371	74676	126067
372	74864	125844
373	75092	125689
374	75317	125529
375	75521	125333
376	75712	125115
377	75920	124926
378	76112	124711
379	76332	124541
380	76632	124502
381	76858	124342
382	77060	124142
383	77258	123935
384	77460	123735
385	77656	123526
386	77911	123409
387	78122	123223
388	78354	123070
389	78524	122821
390	78728	122623
391	78924	122413
392	79206	122336
393	79431	122171
394	79659	122009
395	79873	121827
396	80087	121644
397	80280	121429
398	80487	121234
399	80664	120997
400	80853	120776
401	81047	120563
402	81261	120379
403	81476	120197
404	81689	120013
405	81888	119806
406	82064	119568
407	82231	119316
408	82398	119064
409	82582	118837
410	82810	118674
411	83027	118495
412	83211	118269
413	83376	118016
414	83560	117790
415	83754	117578
416	83941	117356
417	84124	117130
418	84290	116880
419	84490	116677
420	84683	116464
421	84852	116220
422	85065	116035
423	85232	115786
424	85448	115607
425	85649	115405
426	85849	115202
427	86057	115011
428	86266	114821
429	86436	114579
430	86684	114439
431	86928	114294
432	87093	114045
433	87276	113821
434	87483	113627
435	87658	113393
436	87864	113198
437	88054	112982
438	88263	112792
439	88429	112546
440	88683	112413
441	88903	112235
442	89190	112141
443	89440	112002
444	89656	111818
445	89881	111646
446	90081	111443
447	90278	111236
448	90477	111030
449	90645	110789
450	90851	110593
451	91041	110377
452	91273	110212
453	91462	109996
454	91658	109789
455	91841	109565
456	92100	109432
457	92296	109223
458	92513	109041
459	92741	108870
460	92975	108706
461	93174	108501
462	93377	108301
463	93577	108098
464	93768	107884
465	93992	107707
466	94195	107508
467	94358	107262
468	94542	107040
469	94738	106833
470	94914	106603
471	95131	106418
472	95356	106242
473	95587	106074
474	95778	105860
475	95987	105667
476	96250	105532
477	96469	105350
478	96684	105161
479	96900	104975
480	97124	104797
481	97331	104601
482	97520	104385
483	97739	104202
484	97947	104006
485	98218	103877
486	98421	103675
487	98623	103473
