iter	Logloss
0	0.5404068408
1	0.4477269761
2	0.3920644634
3	0.3520071705
4	0.3230726089
5	0.305209722
6	0.292418583
7	0.2805559722
8	0.2732300357
9	0.2674943865
10	0.2612387242
11	0.2581601733
12	0.2546559678
13	0.2517951706
14	0.2494459277
15	0.2475036219
16	0.24596704
17	0.2443756761
18	0.2429705442
19	0.2418895434
20	0.2410903421
21	0.2399353018
22	0.2391004502
23	0.2382446789
24	0.2374967054
25	0.2368526104
26	0.236034708
27	0.2354364072
28	0.2348646948
29	0.2344017339
30	0.2339046828
31	0.2334590716
32	0.2328933383
33	0.2324938142
34	0.2321226514
35	0.231775858
36	0.2314409412
37	0.2311159895
38	0.2307618027
39	0.2304289609
40	0.2301866235
41	0.2298457572
42	0.2295568427
43	0.2293227049
44	0.2291043883
45	0.228887717
46	0.2287074738
47	0.2284513061
48	0.228242292
49	0.2280132224
50	0.2278189136
51	0.2275784326
52	0.2273618552
53	0.2270912787
54	0.2268987832
55	0.2266946422
56	0.2265171373
57	0.2263275734
58	0.2261624077
59	0.2260133443
60	0.2258743627
61	0.2256561636
62	0.2254407097
63	0.2252803811
64	0.2251286595
65	0.2249457525
66	0.2247727403
67	0.2246124224
68	0.2244767523
69	0.2243105733
70	0.2241930852
71	0.224066906
72	0.2239359103
73	0.2238049345
74	0.2236473438
75	0.2235143345
76	0.2233879446
77	0.2232784647
78	0.2231042857
79	0.2229556158
80	0.2228688551
81	0.2227476193
82	0.2226329267
83	0.2224323832
84	0.2223188925
85	0.2222054396
86	0.2220870337
87	0.2219538345
88	0.2218250939
89	0.2217323496
90	0.2215975851
91	0.2215028415
92	0.2213923511
93	0.2213073376
94	0.221201269
95	0.2210831344
96	0.2209699422
97	0.2208213135
98	0.2207173968
99	0.2205963654
100	0.2205004417
101	0.2203629685
102	0.2202630128
103	0.2201463118
104	0.2200395706
105	0.2199388369
106	0.2198360902
107	0.2197443724
108	0.2196441774
109	0.2195360624
110	0.2194339494
111	0.2193409318
112	0.219263958
113	0.2191751072
114	0.219070342
115	0.2189347466
116	0.2188418259
117	0.218736249
118	0.2186412196
119	0.2185411069
120	0.2184466542
121	0.2183345558
122	0.2182437625
123	0.218155662
124	0.2180617013
125	0.2179695711
126	0.2178571789
127	0.2177450661
128	0.2176544878
129	0.217569312
130	0.2174678569
131	0.2173797681
132	0.2172698998
133	0.2171959109
134	0.2171105111
135	0.2170364042
136	0.216951576
137	0.2168821697
138	0.2168024379
139	0.2167225344
140	0.2166457024
141	0.2165553288
142	0.2164654051
143	0.2163773897
144	0.2162727325
145	0.2161902872
146	0.2160947266
147	0.2160014927
148	0.2159210854
149	0.2158345427
150	0.2157371696
151	0.2156746686
152	0.2156055209
153	0.2155171941
154	0.2154500931
155	0.2153633723
156	0.2152744515
157	0.2151965997
158	0.2151041308
159	0.2150158449
160	0.2149312653
161	0.2148789844
162	0.214812838
163	0.2147217135
164	0.214638509
165	0.2145500374
166	0.2144821895
167	0.2144091599
168	0.2143231211
169	0.2142618999
170	0.2141970351
171	0.2141218977
172	0.2140391807
173	0.2139536564
174	0.2138646497
175	0.2138054076
176	0.2137400883
177	0.2136741979
178	0.2136002681
179	0.2135242382
180	0.2134585487
181	0.2133765783
182	0.2132950057
183	0.2132192792
184	0.2131435106
185	0.2130730396
186	0.212980556
187	0.2128908573
188	0.2128406106
189	0.2127649342
190	0.2127013196
191	0.2126295206
192	0.2125632728
193	0.2125170332
194	0.212455655
195	0.2123859019
196	0.2122992052
197	0.2122233873
198	0.212157484
199	0.2120897494
200	0.2120228861
201	0.2119491741
202	0.2118917554
203	0.2118136426
204	0.211743228
205	0.2116842786
206	0.2116170443
207	0.2115587102
208	0.2115017188
209	0.2114225791
210	0.2113540095
211	0.2112880667
212	0.2112243249
213	0.2111461689
214	0.2110821404
215	0.2110195636
216	0.2109621588
217	0.2108973397
218	0.2108313918
219	0.2107658302
220	0.2106967412
221	0.2106089903
222	0.2105397007
223	0.2104879836
224	0.2104125643
225	0.2103394707
226	0.2102772307
227	0.210206578
228	0.2101419004
229	0.2100670011
230	0.210003936
231	0.2099386263
232	0.2098749673
233	0.2098123837
