iter	Passed	Remaining
0	547	10955271
1	1029	10292194
2	1575	10498439
3	2119	10596825
4	2592	10365603
5	3048	10157406
6	3551	10144861
7	3977	9939073
8	4393	9758716
9	4844	9683541
10	5283	9601219
11	5735	9552763
12	6193	9522032
13	6560	9365007
14	6984	9305721
15	7433	9284409
16	7837	9212815
17	8257	9166469
18	8734	9185734
19	9171	9162614
20	9612	9144735
21	10042	9119362
22	10451	9077847
23	10841	9023602
24	11330	9052848
25	11820	9081046
26	12278	9082584
27	12719	9072650
28	13121	9036081
29	13543	9015526
30	13929	8972584
31	14338	8947293
32	14753	8926744
33	15193	8922253
34	15645	8924915
35	16096	8926421
36	16506	8905813
37	16920	8888633
38	17395	8903210
39	17801	8883064
40	18198	8859132
41	18576	8827212
42	19054	8843586
43	19517	8852017
44	19966	8853878
45	20441	8867370
46	20891	8869271
47	21373	8884298
48	21879	8908700
49	22373	8927109
50	22810	8922647
51	23197	8898904
52	23616	8888392
53	24026	8874685
54	24452	8867228
55	24872	8858125
56	25288	8848018
57	25704	8837838
58	26108	8824255
59	26552	8824391
60	27041	8839173
61	27487	8839404
62	27922	8836433
63	28325	8823247
64	28719	8807963
65	29142	8801879
66	29599	8806184
67	29997	8792781
68	30374	8773948
69	30787	8765670
70	31206	8759471
71	31603	8747133
72	32026	8742418
73	32438	8734816
74	32845	8725880
75	33259	8719127
76	33663	8710009
77	34069	8701783
78	34531	8707626
79	34922	8695633
80	35350	8693125
81	35773	8689438
82	36149	8674481
83	36549	8665605
84	36970	8662018
85	37385	8656907
86	37747	8639857
87	38173	8637633
88	38570	8629032
89	38936	8613686
90	39397	8619336
91	39793	8610996
92	40151	8594658
93	40560	8589258
94	40993	8589213
95	41431	8590085
96	41866	8590310
97	42244	8579060
98	42678	8579239
99	43058	8568714
100	43514	8573312
101	43876	8559388
102	44307	8559040
103	44750	8561141
104	45144	8553810
105	45662	8569965
106	46073	8565841
107	46449	8555391
108	46883	8555624
109	47262	8545890
110	47604	8529863
111	48029	8528683
112	48466	8529596
113	48899	8529957
114	49352	8533724
115	49745	8527129
116	50147	8522065
117	50547	8516780
118	50926	8508165
119	51343	8505879
120	51743	8500848
121	52193	8504089
122	52587	8498270
123	53003	8495935
124	53400	8490741
125	53804	8486571
126	54229	8485919
127	54629	8481197
128	55056	8480865
129	55443	8474384
130	55893	8477483
131	56338	8479786
132	56753	8477604
133	57164	8474800
134	57608	8477004
135	57985	8469221
136	58397	8466766
137	58833	8467694
138	59259	8467277
139	59683	8466570
140	60079	8461855
141	60476	8457347
142	60851	8449890
143	61288	8451050
144	61730	8452770
145	62148	8451358
146	62592	8453370
147	62969	8446359
148	63410	8448015
149	63789	8441541
150	64245	8445126
151	64638	8440421
152	65068	8440640
153	65471	8437348
154	65847	8430599
155	66238	8425835
156	66693	8429355
157	67036	8418647
158	67400	8410629
159	67853	8413845
160	68263	8411733
161	68668	8408871
162	69124	8412354
163	69581	8416012
164	70018	8417103
165	70390	8410379
166	70799	8408183
167	71151	8399231
168	71631	8405501
169	72039	8403239
170	72449	8401187
171	72832	8396117
172	73240	8393873
173	73651	8392010
174	74140	8399107
175	74592	8401807
176	74960	8395181
177	75325	8388204
178	75695	8381904
179	76130	8382772
180	76639	8391840
181	77067	8391908
182	77477	8390040
183	77917	8391327
184	78348	8391802
185	78786	8392842
186	79271	8398950
187	79722	8401445
188	80134	8399689
189	80661	8410024
190	81138	8415034
191	81570	8415340
192	82055	8421146
193	82603	8433207
194	83188	8448956
195	83844	8471753
196	84362	8480320
197	84815	8482368
198	85245	8482120
199	85652	8479586
