iter	Logloss
0	0.6498289533
1	0.6107322922
2	0.5742687423
3	0.5422370153
4	0.5150320573
5	0.4914185957
6	0.4698083652
7	0.4493681196
8	0.4326986723
9	0.4178974596
10	0.4029955655
11	0.3900956495
12	0.3770441825
13	0.3672247878
14	0.3568064074
15	0.3481885597
16	0.3408051556
17	0.3350509394
18	0.3282547026
19	0.3228702013
20	0.3178772623
21	0.3119555563
22	0.3076123025
23	0.3036278107
24	0.2994978537
25	0.2953549489
26	0.2924004267
27	0.2889419531
28	0.2863170083
29	0.2842056544
30	0.2823776657
31	0.28009757
32	0.2780929728
33	0.2762364842
34	0.274246548
35	0.2722529798
36	0.2706683699
37	0.2691393932
38	0.2672587811
39	0.2658403936
40	0.2646659566
41	0.2635296769
42	0.2623481427
43	0.2612550925
44	0.2600740508
45	0.2590242644
46	0.25805394
47	0.2571081264
48	0.2562731604
49	0.2553102836
50	0.254593069
51	0.25394029
52	0.2532900876
53	0.2524320339
54	0.25190027
55	0.2511693484
56	0.2505073416
57	0.2500001255
58	0.2494363306
59	0.2489778262
60	0.2483805331
61	0.2478534258
62	0.2474077161
63	0.2469751992
64	0.2465279941
65	0.2460272981
66	0.2456081886
67	0.2452217684
68	0.2448924405
69	0.2443991695
70	0.2439230224
71	0.2435152498
72	0.2431748606
73	0.2428045477
74	0.2425153897
75	0.2422197428
76	0.2419375259
77	0.2416645159
78	0.2413627259
79	0.2410640871
80	0.2407910665
81	0.2405334737
82	0.2402674388
83	0.2399972978
84	0.2397943284
85	0.2395511151
86	0.2393332812
87	0.2390298117
88	0.2388308837
89	0.2386112284
90	0.2383460992
91	0.2381634757
92	0.2379563157
93	0.237771158
94	0.2375469296
95	0.2373407789
96	0.2371750819
97	0.2370120014
98	0.236754781
99	0.2366127484
100	0.2364406495
101	0.236303503
102	0.2361378933
103	0.2360014104
104	0.2358652603
105	0.2356098095
106	0.2354361551
107	0.2352860287
108	0.2351380756
109	0.2350228088
110	0.2348972704
111	0.2347598711
112	0.2346308399
113	0.2344511546
114	0.234315568
115	0.23418962
116	0.2340606815
117	0.2339402999
118	0.2338352457
119	0.2337116485
120	0.2336167807
121	0.2334717003
122	0.2333434549
123	0.2332158571
124	0.2331103068
125	0.2330136218
126	0.2329274879
127	0.2328319996
128	0.2327280459
129	0.2326128235
130	0.232495701
131	0.2323566891
132	0.2322778035
133	0.2321902465
134	0.2320587187
135	0.2319711935
136	0.2318833615
137	0.2317575837
138	0.2316884942
139	0.2315908881
140	0.23150318
141	0.2314254912
142	0.2313294138
143	0.2312267051
144	0.2311552087
145	0.2310556074
146	0.2309594269
147	0.2308762338
148	0.2307774494
149	0.2307064651
150	0.2306272355
151	0.2305615937
152	0.2304966604
153	0.2304142552
154	0.2303251705
155	0.2302504458
156	0.2301762921
157	0.2301294338
158	0.2300612953
159	0.2299734518
160	0.2299045123
161	0.2298427329
162	0.2297762589
163	0.2296996495
164	0.2296023829
165	0.2295277869
166	0.2294627466
167	0.2294008152
168	0.2293284195
169	0.2292700013
170	0.2292075414
171	0.2291333875
172	0.229041197
173	0.2289836483
174	0.2289035397
175	0.2288463235
176	0.2287882271
177	0.2287150365
178	0.2286572179
179	0.228576261
180	0.2285184308
181	0.2284668756
182	0.2284164859
183	0.2283513556
184	0.2282945333
185	0.2282278792
186	0.2281502814
187	0.2280796029
188	0.2280329558
189	0.22798039
190	0.2279301762
191	0.2278723173
192	0.2278208309
193	0.2277626636
194	0.2276647883
195	0.227587922
196	0.2275328243
197	0.2274790896
198	0.227431194
199	0.2273797426
200	0.227317476
201	0.2272669595
202	0.2272215051
203	0.2271796683
204	0.2271039118
205	0.2270577994
206	0.2269772907
207	0.2269229752
208	0.226864594
209	0.2268249765
210	0.226781568
211	0.2267248976
212	0.2266830382
213	0.2266278268
