iter	Passed	Remaining
0	372	744649
1	745	744888
2	1159	772146
3	1580	788766
4	1949	777763
5	2332	775145
6	2777	790752
7	3228	803793
8	3659	809526
9	4029	801902
10	4432	801420
11	4760	788611
12	5147	786813
13	5542	786270
14	5961	788950
15	6317	783313
16	6745	786849
17	7171	789701
18	7635	796088
19	8045	796463
20	8422	793676
21	8841	794934
22	9190	790025
23	9616	791760
24	10071	795637
25	10455	793844
26	10859	793561
27	11203	789060
28	11582	787190
29	11927	783250
30	12331	783242
31	12732	783019
32	13093	780440
33	13451	777791
34	13821	775986
35	14143	771632
36	14547	771828
37	14889	768748
38	15222	765400
39	15565	762706
40	15997	764366
41	16341	761841
42	16710	760521
43	17090	759755
44	17477	759297
45	17873	759233
46	18227	757408
47	18617	757099
48	19010	756925
49	19406	756850
50	19749	754738
51	20124	753906
52	20497	752989
53	20857	751640
54	21255	751686
55	21671	752320
56	22094	753140
57	22470	752381
58	22861	752104
59	23235	751272
60	23654	751893
61	24013	750603
62	24371	749338
63	24751	748721
64	25138	748364
65	25502	747286
66	25929	748077
67	26309	747499
68	26740	748354
69	27144	748413
70	27517	747629
71	27892	746904
72	28291	746809
73	28647	745615
74	29037	745283
75	29443	745373
76	29867	745904
77	30265	745783
78	30685	746160
79	31048	745162
80	31391	743717
81	31750	742656
82	32107	741566
83	32465	740531
84	32878	740733
85	33190	738687
86	33516	736969
87	33906	736693
88	34283	736131
89	34659	735542
90	35023	734723
91	35401	734190
92	35786	733805
93	36173	733480
94	36535	732625
95	36913	732111
96	37328	732336
97	37684	731385
98	38067	730978
99	38418	729955
100	38810	729710
101	39221	729821
102	39670	730625
103	40077	730645
104	40466	730330
105	40881	730473
106	41235	729519
107	41647	729597
108	42029	729155
109	42421	728884
110	42811	728565
111	43195	728154
112	43530	726915
113	43897	726239
114	44333	726681
115	44715	726239
116	45057	725148
117	45459	725034
118	45813	724155
119	46194	723710
120	46628	724085
121	47017	723763
122	47389	723170
123	47794	723078
124	48172	722583
125	48578	722509
126	48948	721888
127	49338	721582
128	49706	720935
129	50046	719898
130	50416	719307
131	50834	719390
132	51192	718619
133	51575	718205
134	51975	718033
135	52343	717412
136	52772	717629
137	53143	717051
138	53539	716816
139	53938	716612
140	54328	716294
141	54717	715956
142	55065	715086
143	55442	714593
144	55868	714729
